epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2052.36,0.2082,1.90267,0.93672,0.55181,0.34286,0.59446,0.53238,0.35152,2.1723,0.63244,0.00047092,0.00047092,0.00047092
2,4115.24,0.18716,1.01372,0.89525,0.49055,0.78194,0.70044,0.59344,0.26849,1.88472,0.50682,0.000928498,0.000928498,0.000928498
3,6272.28,0.24392,0.8923,0.9237,0.75801,0.32857,0.48337,0.46461,0.74603,3.51827,1.50488,0.00136721,0.00136721,0.00136721
4,8398.28,0.29072,0.92237,0.94151,0.71447,0.31714,0.16015,0.14822,0.45618,3.60959,0.74287,0.00134412,0.00134412,0.00134412
5,10490.2,0.27483,0.79536,0.93491,0.58004,0.8478,0.84347,0.83229,0.26244,1.53047,0.54201,0.00131582,0.00131582,0.00131582
6,12562.2,0.22661,0.79785,0.90426,0.81293,0.84853,0.8917,0.88988,0.29481,0.94489,0.55094,0.00128753,0.00128753,0.00128753
